date,SVIX_1,SVIX_2,SVIX_3,SVIX_6,SVIX_12
1996-01-04,0.01609372,0.015364018,0.015703155,0.016450524,0.017646402
1996-01-05,0.015343099,0.015154835,0.01558722,0.016660285,0.01742783
1996-01-08,0.014696589,0.014801779,0.015554461,0.016620608,0.017449442
1996-01-09,0.021774038,0.017574244,0.016717692,0.016495527,0.017490708
1996-01-10,0.022618948,0.019786305,0.018856125,0.01829991,0.019839515
1996-01-11,0.017790626,0.017377613,0.016789816,0.016140043,0.01690575
1996-01-12,0.017237824,0.016985067,0.016370666,0.015846887,0.01744784
1996-01-15,0.020508844,0.018558207,0.018199106,0.017979745,0.019888791
1996-01-16,0.017249068,0.016559486,0.016252997,0.016129851,0.017215243
1996-01-17,0.017269325,0.016517004,0.016319575,0.01628132,0.01738769
1996-01-18,0.016570389,0.0164716,0.016173435,0.016114869,0.016970851
1996-01-19,0.014121196,0.014937019,0.015194463,0.015641655,0.016911156
1996-01-22,0.015780341,0.014315233,0.010741151,0.016090923,0.01679612
1996-01-23,0.015825297,0.01498153,0.013552447,0.016328775,0.016907718
1996-01-24,0.013805349,0.014220812,0.01398299,0.016032932,0.016838999
1996-01-25,0.014514509,0.013978018,0.013495818,0.015201857,0.016389688
1996-01-26,0.012476994,0.012908999,0.013086317,0.01507868,0.016539583
1996-01-29,0.013200759,0.013045451,0.013043145,0.015199462,0.016570108
1996-01-30,0.0132302,0.011764408,0.011244242,0.013087409,0.014110438
1996-01-31,0.013270846,0.011205497,0.010581791,0.012712853,0.014174745
1996-02-01,0.013382305,0.011518765,0.010995127,0.012761936,0.013942216
1996-02-02,0.01500097,0.01323546,0.012597957,0.013372466,0.014367361
1996-02-05,0.015840244,0.014113433,0.013530981,0.013608714,0.014328754
1996-02-06,0.018373999,0.016829417,0.01587922,0.015353085,0.015440298
1996-02-07,0.017536009,0.01647219,0.016011959,0.016132404,0.015546945
1996-02-08,0.016809496,0.015583363,0.015688228,0.014925119,0.014311688
1996-02-09,0.018706736,0.017644887,0.017355121,0.015875498,0.01483094
1996-02-12,0.019821503,0.01696825,0.016741293,0.015689126,0.014840241
1996-02-13,0.01961679,0.018604192,0.01744826,0.01551455,0.014883186
1996-02-14,0.022669016,0.019503706,0.018083704,0.015963201,0.015172702
1996-02-15,0.023564261,0.020930786,0.019371491,0.017496676,0.016002128
1996-02-16,0.02110022,0.020956976,0.019994257,0.019152351,0.018157962
1996-02-20,0.02327026,0.022525373,0.014826698,0.020162212,0.018700288
1996-02-21,0.018766585,0.018727855,0.014123991,0.018587574,0.018264387
1996-02-22,0.018719023,0.018201721,0.015770122,0.015639917,0.015410296
1996-02-23,0.019143103,0.018537251,0.016966208,0.016245742,0.015767071
1996-02-26,0.023789239,0.021099178,0.018836133,0.017833729,0.016895998
1996-02-27,0.023213677,0.021691352,0.019980872,0.019787189,0.018610209
1996-02-28,0.023928692,0.021765946,0.020378621,0.019927128,0.019100458
1996-02-29,0.025964495,0.02340331,0.021580456,0.020419851,0.019491726
1996-03-01,0.024828352,0.023454823,0.022012396,0.021998083,0.019943527
1996-03-04,0.02343015,0.021408872,0.020473373,0.019759609,0.017826927
1996-03-05,0.021769652,0.020461037,0.019653221,0.019331243,0.017868051
1996-03-06,0.022945564,0.0212992,0.020575976,0.019887897,0.017724238
1996-03-07,0.023006182,0.02141301,0.020501962,0.019631582,0.018524174
1996-03-08,0.034569811,0.028381244,0.026534458,0.023884643,0.021683474
