date,rankdate,LTG,cae,epspx,EPS,EPS_1,EPS_2,EPS_3,EPS_4,EPS_5,MV,return,totval,divisor,YEAR,QUARTER,lag_LTG,delta_LTG,forecast_error,e_cae,dp,pe,SVIX,term_spread,credit_spread,USEPUINDXM,INFCPI1YR,return_1,return_2,return_3,return_4,return_5,return_1_3,return_1_5,forecast_error_m1,forecast_error_m2,forecast_error_m3,forecast_error_m4,delta_LTG_1,delta_LTG_2,delta_LTG_3,delta_LTG_4,delta_LTG_5
1981-12-31,198112,0.134847761374666,0.011662061078928,0.0159581386875265,0.0140897230777434,0.0146870710390374,0.0174526826077603,0.0169726784164077,0.0191595081996666,0.0216642414821626,811380825.4375,-0.0305367238600818,851316511,6946687156.26275,1981,4,,,-0.127626634336625,0.313628031414134,-2.926206211,2.086913557,,0.0655108109565106,0.151033689721311,,7.7,0.1376843239627445,0.29700203148593896,0.31091079651424264,0.5446651580147552,0.6811208488982886,0.7251648091704133,1.8561243541921901,,,,,-0.0083865756121263,-0.0017597250475743,-0.0060312475682358,-0.0053909982167529,-0.0038247836127245
1982-01-29,198201,0.137855580848258,0.0117222755493166,0.0159952088672606,0.0141371188457537,0.0146794563731036,0.0173670912902363,0.0181450639119448,0.0205532564041667,0.0233267129466916,803783243.8125,-0.0176995770994015,836871941,6950763629.56811,1982,1,,,-0.126173002084822,0.310798306800369,-2.868218953,2.045108863,,0.0186792010021946,0.11909969154113,,6.62,0.18798103770151692,0.3054428471889724,0.4000796469060235,0.5647284671275878,0.8226005017010891,0.8689307390021911,2.147853659816075,,,,,-0.0121810720156249,-0.0031202541186502,-0.003084916166786,-0.0056137185219521,-0.0040113334827918
1982-02-26,198202,0.135460844289983,0.0123132537237921,0.0146876509076495,0.014577206461523,0.0160013286205301,0.0191014828237098,0.020098608062122,0.0227714869878992,0.0258466813128024,757313490.0,-0.0624587363314308,786717627,6955332216.42649,1982,1,,,-0.137940591105861,0.176330845644834,-2.840439389,2.033397603,,-0.0205768576887597,0.117855797325568,,6.62,0.2692568004716623,0.32826710140343873,0.47118540790472685,0.6962367359150772,0.9213174191197107,1.0404741959371306,2.532423650024519,,,,,-0.009370191261527,-0.0016540309789519,-0.0060181883871008,-0.0041477553364538,-0.002379013705733
1982-03-31,198203,0.13408754781679,0.012312507810557,0.0146371318346648,0.0145571310192084,0.0162032480115623,0.0191894710220982,0.0201804563574732,0.0228367936343637,0.0258880881819484,749317716.0625,-0.0102191318960365,778829619,6956320284.03001,1982,1,,,-0.133110009198462,0.172945935549024,-2.803460386,2.012232792,,-0.0064725145056172,0.14291792796429,,6.62,0.31203478465583834,0.3518939727304503,0.4784751470744444,0.7579033896845111,0.9575842122264229,1.1133163457751392,2.696003126145696,,,,,-0.0071784077628612,-0.0052803285853735,-0.0047351603133047,-0.005230776558035,-0.0006719972793702
1982-04-30,198204,0.137453694349588,0.0122990798926319,0.0146190695896934,0.0145188754589767,0.0158166936144168,0.0189799933099109,0.0200951566897562,0.0228275571784463,0.025994785477085,781086689.1875,0.0392344542301695,810825172,6963459051.87221,1982,2,,,-0.130329668554343,0.172802358637469,-2.847312268,2.075684493,,-0.0078995024789239,0.148801484308442,,6.04,0.3450480108465644,0.31811014753844963,0.43463584129968325,0.7044197166630893,0.9068335806589553,1.0714060870580724,2.5577720347405606,,,,,-0.0106395818429587,-0.0057769535264997,-0.0066207234984401,-0.0022974984174179,-0.0010857374930585
1982-05-28,198205,0.134946293670883,0.0122041428439506,0.0146337158064185,0.0145333991848589,0.0152357807288723,0.0185394433709987,0.0195846270626688,0.0221845179962236,0.0251890492785019,754554857.0,-0.0399492505436632,781434082,6984573489.45299,1982,2,,,-0.112282922034053,0.18155269671547,-2.843869924,2.090628731,,0.0207722602338882,0.154351020406913,,6.04,0.3725739811432366,0.2968683865939832,0.5272259736285844,0.7933774693399585,0.952798822793599,1.1666534818364214,2.7781120518236446,,,,,-0.0079382151605458,-0.0057813234476238,-0.0061911496422208,-0.0027544622479071,-0.0006786876778677
1982-06-30,198206,0.13352020984624,0.0121561494788599,0.014619525368415,0.0144480867439601,0.0148851878685412,0.0182622706447093,0.0198793043737576,0.0224810202679718,0.0254731919270682,745132226.0625,-0.0204982571061274,769665113,7021851227.07782,1982,2,,,-0.0984682946193298,0.18452281756063,-2.77900929,2.046401688,,0.0162146661395637,0.13319372589837,,6.04,0.4276899158173354,0.33468508925381507,0.5597852054653298,0.8278866744471882,1.02009909017859,1.2898551892769863,2.9950226768034747,,,,,-0.0061291582977955,-0.004608272011097,-0.0077753974567984,-0.0030815772322735,0.0002785451312552
1982-07-30,198207,0.132241952222579,0.0121692562062725,0.0146821975755668,0.0144492221212464,0.0144787561378721,0.0178090336948806,0.0193699354305064,0.0218756355916129,0.0247523918704682,724747960.375,-0.0232590088148479,743612136,6943805546.73639,1982,3,,,-0.0953545086523451,0.18772292244567,-2.774190004,2.05796251,,0.0522369577585122,0.139672660646605,,5.97,0.4173775619773329,0.3413560399847648,0.5781848897249118,0.7906705479597047,1.090455101249579,1.3036486519223955,3.0383049563111437,,,,,-0.0058224972681535,-0.0036716505031867,-0.0082653889904113,-0.0022181451380423,-0.0007048263019551
1982-08-31,198208,0.130698369156771,0.0123951359190333,0.0146039647774123,0.0144024999833637,0.0139850259424949,0.0171849903562565,0.0186649755716701,0.0210377435803655,0.0237576237246198,816491045.25,0.109730447466005,841420395,7040585683.20643,1982,3,,,-0.0930940024011883,0.16398892088423,-2.775793853,2.075684493,,0.133312646041566,0.174265855961738,,5.97,0.31890243274329066,0.3326757566754638,0.4563873744788443,0.7497127207239047,1.0150863602467095,1.0802874044932271,2.7078407737696555,,,,,-0.0038129819222614,-0.0038300562566109,-0.0092393990037381,-0.0024556084069266,0.0008421369539146
1982-09-30,198209,0.124848695671361,0.0123697086049755,0.0146342049654184,0.0144378018679358,0.0136728227349441,0.0169086258848963,0.0184024240836325,0.0206100906892112,0.0231156414449775,826673662.125,0.0075855821575121,851212632,7068698156.45242,1982,3,,,-0.077329045211955,0.16811096493764,-2.882403588,2.200552367,,0.128680938490773,0.188868855360631,,5.97,0.3214237541823606,0.3216043845829477,0.413460518901665,0.6528164012537165,0.9830378237827113,1.0309607841604316,2.5387154028114693,,,,,0.0025798985441795,-0.0064344332748904,-0.0079238382988914,-0.0037219205273966,0.002827899947905
